n 10000, TimeSeries size 10000
-0.756,-0.676401
0.779,0.79639
0.726,0.633715
0.696,0.831413
0.772,0.541144
1.421,1.49542
-0.321,-0.402008
-0.561,-0.637233
-2.571,-2.58775
-0.000,0.0177435
-0.546,-0.475562
-0.476,-0.582116
1.207,1.15589
0.397,0.330865
-1.089,-1.05842
-0.144,-0.0729181
1.671,1.65927
0.822,0.60845
-0.862,-0.884458
0.396,0.382711
0.186,0.59309
-1.032,-1.00623
-0.018,0.0491895
1.245,1.229
-0.614,-0.513658
-0.674,-0.66544
-0.672,-0.64715
-1.322,-1.38188
-2.325,-1.94942
1.086,1.14307
-0.102,0.107995
0.434,0.510412
-0.308,-0.133252
0.056,0.113419
0.738,0.733494
0.840,0.892528
0.425,0.395897
-0.100,-0.194465
-0.551,-0.529704
0.612,0.874058
0.837,0.78903
0.169,0.173358
0.649,0.477104
0.657,0.692911
0.484,0.463254
-0.606,-0.428604
-0.081,-0.105005
-0.734,-0.859771
0.947,0.992421
0.727,0.452195
0.642,0.674129
1.313,0.97531
1.159,1.148
0.809,0.831751
-1.675,-1.71726
0.490,0.493112
0.242,0.255834
0.827,0.796014
0.200,0.0391144
-0.573,-0.569847
0.951,0.631393
1.442,1.45974
0.598,0.788601
0.224,0.182804
-1.000,-0.991271
-0.422,-0.480467
1.958,1.75515
0.967,0.881923
-0.385,-0.415631
-0.623,-0.650264
0.788,1.05764
-0.355,-0.149569
1.153,1.066
-2.287,-2.27398
-0.853,-0.947488
0.701,0.748968
1.587,1.57126
-0.658,-0.662096
0.912,0.977161
1.987,1.83613
2.475,2.4515
0.742,0.829315
0.657,0.646724
0.942,0.923498
-0.594,-0.45583
0.894,0.927365
-2.159,-2.16497
-0.553,-0.545702
-1.820,-1.81884
1.140,1.11004
-0.467,-0.461597
-0.515,-0.627241
0.142,0.12493
0.098,0.113961
0.318,0.412902
1.910,0.968241
0.561,0.406006
0.595,0.630387
-0.550,-0.65926
-0.875,-0.855323
-0.914,-0.790728
0.752,0.717198
-0.270,-0.0826772
-1.579,-1.55804
-1.498,-1.67188
-1.837,-0.877301
1.010,0.939991
1.757,1.77701
0.217,0.222947
1.240,1.36746
0.249,-0.122323
1.067,0.783712
