n 10000, TimeSeries size 10000
1.672,-215.326
-1.368,-146.554
-0.495,225.034
0.040,278.323
0.048,105.537
1.162,-575.116
0.334,298.219
1.000,-136.725
1.290,-37.4396
0.399,203.284
-0.581,-221.973
-1.045,1.07077
-0.196,-123.93
2.268,-256.916
0.581,48.2961
0.243,-416.433
0.780,-21.7859
-0.869,-119.075
1.086,159.549
-0.287,30.2023
-2.775,-24.0217
0.773,45.1756
-1.321,75.965
-0.742,230.083
-1.577,128.117
-1.056,127.149
-0.645,286.919
0.756,44.8193
0.884,-44.2951
-0.061,-117.466
0.090,-133.942
-0.540,-4.22689
0.722,-144.864
-1.670,-166.203
-0.114,-35.5071
-2.228,178.834
-1.750,492.696
-0.268,-40.1699
0.565,-17.7035
0.042,253.893
2.623,-589.035
0.559,370.46
1.641,71.159
-0.893,66.6222
-0.684,172.893
1.334,-565.768
0.084,100.182
1.102,-422.215
0.830,-234.788
-0.108,70.9249
-1.076,-113.644
0.185,194.909
1.051,-144.801
-0.675,390.711
2.035,-6.42938
-0.589,26.8283
-0.473,-95.203
1.342,-218.318
1.032,105.415
0.921,98.7933
0.748,-401.375
1.109,221.849
-1.650,140.742
-0.723,104.221
1.458,-84.327
-0.675,-207.498
0.061,-525.399
-1.057,190.027
-2.045,28.8224
0.567,-177.805
0.618,-41.7979
-1.247,262.027
1.001,0.466471
0.137,-109.013
-0.439,-143.612
0.812,100.553
-0.021,452.669
1.147,-35.3172
0.145,132.224
1.092,-302.733
-0.393,-58.2808
-0.590,-190.676
-0.133,62.1072
1.666,-184.13
0.681,-41.3408
-1.866,49.7799
1.481,-136.397
-1.406,275.553
-0.960,265.418
1.258,-320.417
-0.395,118.797
-1.715,452.86
0.656,-207.258
1.065,-126.962
0.446,-171.337
-1.128,196.114
0.133,159.392
-1.017,-527.338
-0.083,-240.899
0.930,-12.3334
-1.767,57.6885
-0.487,15.2773
-2.011,54.6252
-0.796,-50.6048
0.223,120.023
0.734,-157.29
1.087,44.0878
1.219,-591.446
-0.261,53.5162
0.404,-296.435
-1.491,208.771
1.063,-358.852
-1.105,-91.3125
-1.845,-8.13061
-0.430,-131.426
0.929,-260.29
-0.622,132.568
-0.749,-102.919
0.476,33.2795
-1.026,-332.244
0.998,-91.2371
0.151,23.096
-1.026,2.83916
0.636,-287.716
0.714,-98.1294
0.454,214.101
0.837,158.016
0.144,-205.38
-0.108,-322.13
-0.844,-16.1653
0.985,-190.071
0.358,-89.6536
-1.296,-21.6911
0.131,-41.2814
-0.615,19.5147
0.000,298.629
0.408,-117.344
0.682,167.532
0.248,-200.677
1.179,-159.771
1.026,-112.126
-1.143,305.015
-1.441,96.8011
-0.287,64.3928
0.216,-219.614
0.876,22.7473
-0.687,23.9827
-0.759,-290.106
0.140,-52.0257
1.303,-197.65
-2.330,-61.3064
1.204,-179.188
-0.255,19.4646
0.563,-74.7152
0.293,270.256
0.852,-414.177
-0.418,45.0824
0.242,-214.561
-0.569,90.3554
-1.068,106.247
-1.210,487.876
0.157,136.39
-0.133,33.4408
-0.680,244.022
1.861,-105.986
-0.706,163.755
-0.682,443.513
0.542,41.5849
-1.111,1.9921
0.219,-65.6984
0.180,-439.287
-1.644,265.659
-1.293,3.26635
1.217,-186.599
0.063,-65.421
0.565,-41.0352
-0.491,-452.226
-0.234,-65.4968
0.968,-270.062
-0.086,-32.7195
-0.257,-246.419
0.959,-36.6335
-1.913,347.649
0.250,-169.479
1.414,-21.3809
0.449,59.0357
0.772,-310.071
-1.339,-58.4957
0.852,-460.01
1.216,-22.7538
-0.575,-208.275
-0.149,1.31927
-0.029,30.1346
0.081,337.744
-1.545,-75.8386
-0.779,196.561
0.765,-37.3976
2.379,-339.035
-0.227,43.8899
0.182,548.582
0.621,127.456
-1.004,-5.59769
0.263,-63.1878
0.297,54.0081
0.067,-164.923
-0.767,144.225
-1.238,330.394
0.798,-469.667
-0.414,231.499
-0.846,-202.096
-0.595,443.727
-0.780,-72.6428
-0.056,63.6427
1.951,-751.35
-0.897,72.9884
-0.363,29.7597
-1.629,29.5505
-0.236,492.467
0.082,-74.1109
0.786,-116.475
0.482,134.823
-0.489,179.411
-0.909,-171.102
0.948,66.3919
-0.430,190.081
-0.763,366.437
0.430,-9.16761
0.016,4.93645
0.404,232.2
0.850,509.589
0.472,-132.241
0.573,-132.63
-1.724,276.799
-0.743,-131.513
-1.040,97.3409
3.002,-528.218
-0.586,-254.636
1.147,-246.856
-0.081,-208.094
-0.302,165.033
0.488,6.36851
-1.273,-75.6927
-0.896,76.2086
1.020,-366.457
0.813,130.802
-0.739,1.57821
0.557,-184.618
-0.286,-403.373
0.885,223.019
-0.508,-158.956
-1.830,253.056
0.854,-185.443
0.309,225.66
-0.102,248.656
1.340,-31.3397
-0.777,23.1917
0.379,-258.707
-0.105,-276.332
-0.618,-262.824
0.380,-330.825
0.325,-78.2163
0.656,246.97
-2.316,-93.46
0.441,-164.845
1.066,69.4405
-0.350,-124.427
-0.776,44.5596
0.985,116.044
-0.665,488.133
-0.728,609.106
1.565,-261.313
0.303,328.699
0.620,-270.944
-1.416,-160.3
-0.272,209.689
0.139,-13.5128
1.891,-66.6197
-0.157,-76.637
0.412,-54.5425
1.120,-397.515
-1.515,174.222
-0.577,-115.926
-0.788,-90.8317
-0.294,81.9565
0.145,81.5955
-0.701,-84.1079
-0.957,-67.8603
-0.025,278.949
0.283,-118.97
1.801,-161.085
-0.492,-134.089
-0.292,49.8193
-1.412,184.002
-0.986,81.5078
0.009,-188.927
2.271,-103.312
0.739,135.295
-0.468,-323.721
1.492,-243.792
0.513,232.833
1.351,-254.277
-0.346,-69.2543
-0.729,-76.3912
1.203,27.8003
-0.113,-33.2542
-0.098,-374.031
-1.753,447.969
-0.150,301.281
-0.647,-94.9107
0.797,-295.396
0.106,-237.336
-0.442,-42.6113
0.422,-164.518
0.246,-66.2143
0.231,-161.298
0.271,192.427
-0.633,189.256
-0.870,-71.4606
-0.437,108.397
1.070,-192.168
-1.064,188.919
-1.313,11.1263
1.395,-3.17737
-1.734,297.667
1.544,-563.636
0.744,-413.288
0.449,-175.395
0.973,-139.546
-1.654,35.383
1.012,-100.204
0.331,-86.3611
-0.727,409.762
0.175,454.003
-1.239,-9.82505
0.291,-345.388
0.370,-20.0592
1.739,-591.459
1.734,-395.033
-0.110,-245.78
0.885,81.4264
0.507,4.1209
0.722,2.63599
0.514,-111.829
-0.048,-132.784
-1.035,-300.623
-0.525,-219.672
-1.080,-73.7976
1.745,-72.9965
0.185,-259.002
-0.161,22.0079
-2.009,-43.8917
-1.166,-4.14611
0.728,-147.847
0.874,-9.69083
1.355,-147.083
0.851,-137.254
-0.366,144.658
-0.080,284.358
0.447,217.987
0.274,-96.9582
1.164,-799.719
-1.009,-40.6027
1.910,-224.349
-1.321,161.565
-0.735,-353.561
-0.122,264.947
-0.477,102.546
-0.227,109.435
1.065,316.002
0.688,-97.6311
0.687,-306.909
-1.070,143.813
-0.180,51.4447
-1.433,272.805
0.165,67.0533
-0.218,27.3687
-1.750,-32.9996
0.303,170.341
0.269,365.565
-0.008,328.132
1.094,162.074
0.118,-40.7596
-0.266,162.68
0.322,-87.8466
-0.055,98.8892
1.137,-266.221
0.495,31.1772
0.136,11.9673
-0.864,231.302
0.879,93.0595
-0.535,-33.1187
-0.314,41.6288
0.847,-96.2595
-1.074,142.148
0.925,-573.398
1.670,-67.3071
0.980,-130.741
0.490,-98.9723
-1.629,206.533
0.311,52.9814
0.790,-662.15
0.195,-226.272
-0.425,269.553
-0.087,-19.0837
0.566,139.105
0.677,-6.67525
-0.307,-389.623
-0.401,10.3331
-1.507,695.463
-0.499,386.205
1.486,-79.5705
-0.021,169.139
0.773,-183.107
-0.496,255.291
-0.760,-31.9785
-1.276,215.696
0.888,-222.05
-0.354,253.832
-1.113,-65.7536
-2.532,-33.1898
0.835,-232.409
-1.507,447.447
-0.572,-103.961
0.309,-270.386
-0.547,20.0815
-0.971,-143.156
1.622,140.729
0.108,271.513
-0.073,-53.8646
2.301,-168.683
-1.195,118.015
-0.623,295.803
-1.258,3.8828
-0.234,-43.9356
-0.077,129.384
0.911,55.0139
-0.641,309.723
-1.409,326.062
1.708,231.81
0.642,-16.9561
-1.128,-67.5682
0.952,-235.65
0.967,-123.011
-1.576,-265.451
0.091,-35.7767
-0.114,-130.236
-0.045,303.841
-0.060,376.293
0.201,-193.1
-0.151,86.0732
0.252,55.6826
0.392,-69.1602
-1.245,135.918
-0.143,245.779
-1.128,70.6254
1.314,-396.959
0.454,-95.814
0.402,-87.8202
-0.774,144.67
-0.554,-204.757
-1.852,-32.7973
0.085,-268.986
0.703,319.786
0.015,-244.905
0.501,-513.824
0.401,-173.691
0.141,147.283
-0.571,137.307
0.421,110.201
-0.627,-144.635
-2.590,8.13736
-0.524,211.748
1.129,-149.763
1.536,-102.723
-0.285,207.831
-0.359,187.499
0.561,-118.649
-0.375,-131.336
0.244,-15.4394
0.206,-217.948
0.814,-54.7341
-1.463,148.44
-1.082,-376.696
-2.198,-176.588
0.979,-50.3728
-0.371,-141.24
-0.891,-210.654
-0.096,79.056
-1.442,191.849
-0.081,-7.28611
-0.314,2.29868
1.044,-147.642
-0.974,245.482
-1.141,39.8593
0.761,57.9399
-0.306,175.162
-1.814,365.808
-2.208,128.03
-0.392,-59.8473
-0.055,-263.998
1.883,-56.4288
-0.149,-23.6382
1.133,134.947
1.258,-65.1353
0.236,471.103
0.118,154.748
-1.918,176.949
-0.045,19.5816
0.351,98.6629
-1.305,46.5789
-0.470,-37.4848
1.532,54.615
-1.800,247.088
0.270,-33.406
0.114,213.961
-0.334,662.818
1.117,48.5911
1.285,-9.21236
-0.444,-7.86773
0.912,280.109
0.107,160.819
0.935,79.2178
0.883,73.4079
1.811,-139.596
-0.690,50.8612
-0.083,461.213
-0.606,403.307
0.061,327.377
-0.959,257.085
